<We; share; personal information; none; with affiliated and unaffiliated service providers; none; run our business, compliance purposes>
<We; share; information; none; with third-party platforms, software tools, credit providers; none; verifying identity, authenticating identification documents, checking information against public databases, conducting background checks, fraud prevention, security investigations, risk assessments, product development, maintenance, debugging, allowing provision of services, providing customer service, advertising, payments services, offering additional services, processing insurance claims, reviewing, scanning, analyzing communications, offering flexible payment plans and financing>
<Service providers; access, disclose; personal information; none; from user; required by law; protect user's personal information>
<We; collect; Device Information; IP address, hardware information, software information, device information, device event information, unique identifiers, crash data, read receipts; from user's device; when using Airbnb Platform and Payment Services; none>
<We; collect; information; none; from user; even if no account created or logged in; none>
<We; receive; personal information; Biometric Information, facial recognition data; from user; when user chooses to provide; with user's consent where required by applicable law>
<We; receive; personal information; Other Information, health information; from user; when filling in a form, adding information to account, responding to surveys, posting to forums, participating in promotions, communicating with Airbnb Support and Members, importing or entering address book contacts, providing address and geolocation, sharing experience; none>
<We; collect; personal information; none; from user; when use the Airbnb Platform; none>
<We; ask; verification information; government-issued ID, image, selfie; from user; when verify ID; verify user's identity>
<We; obtain; information; ID; from user; if copy is provided; none>
<We; collect; Identity Information; none; from user; in accordance with applicable laws; none>
<We; process; personal information; none; from Airbnb Platform; when use the Airbnb Platform; none>
<We; collect; personal information; none; from other sources, such as Guest Travel Insurance Partners; none; none>
<We; receive; information; claim information; from user; when making a claim; provide customer service, improve platform>
